Car_Name,version,Gear Type,Running_kn,Owner,Fuel Type,Passing State,Price
2020 Maruti S PRESSO,VXI CNG,Manual,"18,982 km",1st Owner,Petrol + CNG,MH-46,"5,61,000"
2021 Maruti New  Wagon-R,LXI CNG 1.0 L,Manual,"14,095 km",2nd Owner,Petrol + CNG,MH-05,"6,87,000"
2020 Honda City,V CVT,Automatic,"11,546 km",1st Owner,Petrol,MH-01,"12,01,000"
2014 Hyundai i20,ASTA 1.2,Manual,"37,592 km",1st Owner,Petrol,MH-02,"5,07,000"
2018 Hyundai Creta,1.6 S PLUS AT CRDI,Automatic,"48,761 km",1st Owner,Diesel,MH-47,"12,61,000"
2016 Maruti Wagon R 1.0,VXI,Manual,"21,930 km",1st Owner,Petrol,MH-46,"4,07,000"
2016 Maruti Alto 800,VXI,Manual,"34,370 km",2nd Owner,Petrol,MH-48,"2,81,000"
2014 Maruti Wagon R 1.0,LXI CNG,Manual,"83,997 km",1st Owner,Petrol + CNG,MH-02,"3,69,000"
2021 Maruti S PRESSO,VXI CNG,Manual,"23,619 km",1st Owner,Petrol + CNG,MH-01,"5,19,000"
2018 Toyota YARIS,VX CVT,,"21,280 km",1st Owner,Petrol,MH-03,"10,01,000"
2019 Honda Civic,ZX CVT PETROL,Automatic,"38,030 km",1st Owner,Petrol,MH-02,"18,77,000"
2016 Toyota Corolla Altis,G,Manual,"80,440 km",1st Owner,Petrol,MH-43,"8,05,000"
2014 Maruti Wagon R 1.0,LXI CNG,Manual,"23,396 km",1st Owner,Petrol + CNG,MH-03,"3,91,000"
2020 Hyundai GRAND I10 NIOS,Asta Petrol,Manual,"8,193 km",1st Owner,Petrol,MH-02,"7,09,000"
2017 Maruti Swift,VXI OPT,Manual,"7,310 km",1st Owner,Petrol,MH-05,"5,97,000"
2019 Maruti Alto,VXI,Manual,"20,492 km",1st Owner,Petrol,MH-06,"4,00,000"
2018 Maruti Celerio,VXI CNG OPT,Manual,"40,479 km",1st Owner,Petrol + CNG,MH-05,"5,42,000"
2021 Maruti New  Wagon-R,LXI CNG 1.0 L,Manual,"13,084 km",1st Owner,Petrol + CNG,MH-05,"6,87,000"
2016 Maruti Celerio,ZXI AMT,Automatic,"28,285 km",2nd Owner,Petrol,MH-47,"4,14,000"
2022 Honda City,ZX MT PETROL,Manual,"4,940 km",1st Owner,Petrol,MH-01,"14,48,000"
2018 Maruti Celerio,VXI CNG,Manual,"26,129 km",1st Owner,Petrol + CNG,MH-01,"5,18,000"
2020 Honda Amaze,1.2 VX CVT I VTEC,Automatic,"3,438 km",1st Owner,Petrol,MH-03,"9,54,000"
2022 Maruti Ciaz,1.5 ZETA VVT SHVS AT,Automatic,220 km,1st Owner,Petrol,MH-02,"11,92,000"
2021 Honda City,V MT PETROL,Manual,"3,252 km",1st Owner,Petrol,MH-04,"10,95,000"
2015 Maruti Ciaz,ZXI,Manual,"81,604 km",1st Owner,Petrol,MH-01,"5,50,000"
2019 Hyundai NEW SANTRO,SPORTZ 1.1,Manual,"7,676 km",1st Owner,Petrol,MH-03,"5,26,000"
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"16,965 km",1st Owner,Petrol,MH-04,"6,38,000"
2016 Maruti Alto 800,VXI,Manual,"61,973 km",1st Owner,Petrol,MH-48,"3,16,000"
2017 Maruti Vitara Brezza,ZDI,Manual,"74,135 km",1st Owner,Diesel,MH-43,"8,27,000"
2021 Toyota Glanza,G MT PETROL,Manual,"20,314 km",1st Owner,Petrol,MH-02,"7,45,000"
2017 Maruti Celerio,VXI CNG,Manual,"52,013 km",1st Owner,Petrol + CNG,MH-47,"4,63,000"
2021 Mahindra XUV 3OO,W8 (O) DIESEL  AT,Automatic,"29,546 km",1st Owner,Diesel,MH-03,"14,45,000"
2017 Maruti Swift,VXI OPT,Manual,"37,414 km",1st Owner,Petrol,MH-46,"5,51,000"
2017 Maruti Baleno,ZETA PETROL 1.2,,"31,239 km",1st Owner,Petrol,MH-03,"6,00,000"
2014 Maruti Celerio,ZXI OPT,Manual,"30,402 km",1st Owner,Petrol,MH-46,"4,21,000"
2022 Hyundai GRAND I10 NIOS,SPORTZ CNG MT,Manual,"5,527 km",1st Owner,Petrol + CNG,MH-04,"8,78,000"
