Car_Name,version,Gear Type,Running_kn,Owner,Fuel Type,Passing State,Price
2016 Maruti Celerio,ZXI AMT,Automatic,"38,229 km",2nd Owner,Petrol,MH-14,"4,40,000"
2019 Maruti Celerio,VXI CNG OPT,Manual,"77,813 km",1st Owner,Petrol + CNG,MH-12,"5,83,000"
2018 Hyundai Creta,1.6 SX PLUS AUTO PETROL,Automatic,"48,871 km",1st Owner,Petrol,MH-14,"11,35,000"
2017 Hyundai Eon,MAGNA PLUS,Manual,"25,528 km",1st Owner,Petrol,MH-46,"3,56,000"
2019 Ford Figo Aspire,1.2 TITANIUM+ PETROL,Manual,"23,688 km",1st Owner,Petrol,MH-12,"6,87,000"
2017 Maruti Wagon R 1.0,LXI CNG,Manual,"36,980 km",1st Owner,Petrol + CNG,MH-12,"4,81,000"
2019 Toyota YARIS,G CVT,Automatic,"14,839 km",1st Owner,Petrol,MH-12,"8,58,000"
2017 Maruti Celerio,ZXI,Manual,"34,251 km",1st Owner,Petrol,MH-43,"4,61,000"
2017 Maruti Celerio,VXI AMT,Automatic,"80,306 km",2nd Owner,Petrol,MH-12,"4,53,000"
2017 Maruti Celerio,VXI AMT,Automatic,"41,953 km",1st Owner,Petrol,MH-12,"4,73,000"
2021 Maruti S PRESSO,VXI CNG,Manual,"15,123 km",1st Owner,Petrol + CNG,MH-05,"5,23,000"
2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"35,449 km",1st Owner,Petrol,MH-04,"4,39,000"
2019 Hyundai NEW SANTRO,1.1 SPORTZ MT CNG,,"57,588 km",1st Owner,Petrol + CNG,MH-46,"5,58,000"
2019 Hyundai NEW SANTRO,1.1 SPORTZ MT CNG,,"11,844 km",1st Owner,Petrol + CNG,MH-14,"5,83,000"
2020 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT,Automatic,"18,704 km",1st Owner,Petrol,MH-14,"11,21,000"
2016 Maruti Baleno,DELTA PETROL 1.2,Manual,"62,338 km",1st Owner,Petrol,MH-46,"5,49,000"
2018 Toyota YARIS,VX CVT,Automatic,"52,933 km",1st Owner,Petrol,MH-12,"9,21,000"
2016 Maruti Wagon R 1.0,VXI,Manual,"57,348 km",1st Owner,Petrol,MH-46,"4,05,000"
2020 Honda Amaze,1.2 SMT I VTEC,Manual,"12,923 km",2nd Owner,Petrol,MH-12,"6,78,000"
2019 Renault Kwid,1.0 RXT Opt,Manual,"2,421 km",1st Owner,Petrol,MH-12,"4,80,000"
2021 Hyundai GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT CNG,Manual,"8,423 km",1st Owner,Petrol + CNG,MH-02,"8,03,000"
2020 Toyota URBAN CRUISER,PREMIUM DUAL TONE AT,,"14,253 km",1st Owner,Petrol,MH-12,"11,84,000"
2012 Hyundai i20,ASTA 1.2,Manual,"41,401 km",1st Owner,Petrol,MH-14,"4,56,000"
2021 Toyota Glanza,V CVT,Automatic,"14,995 km",1st Owner,Petrol,MH-12,"9,38,000"
2019 Hyundai Verna,1.6 SX VTVT AT (O),Automatic,"33,395 km",1st Owner,Petrol,MH-12,"11,65,000"
2018 Maruti Alto 800,VXI (O),Manual,"48,386 km",1st Owner,Petrol,MH-12,"3,38,000"
2017 Hyundai i20 Active,1.2 SX,Manual,"25,942 km",1st Owner,Petrol,MH-46,"7,18,000"
2021 Maruti New  Wagon-R,LXI CNG 1.0 L,Manual,"19,351 km",1st Owner,Petrol + CNG,MH-12,"6,87,000"
2018 Maruti Alto 800,LXI,Manual,"19,079 km",2nd Owner,Petrol,MH-12,"3,51,000"
2017 Honda City,ZX CVT,Automatic,"57,928 km",1st Owner,Petrol,MH-12,"10,35,000"
2013 Maruti Ritz,VXI,Manual,"40,723 km",1st Owner,Petrol,MH-02,"3,74,000"
2020 Hyundai AURA,SX PETROL,Manual,"35,201 km",1st Owner,Petrol,MH-12,"7,35,000"
2018 Maruti Celerio,ZXI OPT AMT,Automatic,"26,738 km",1st Owner,Petrol,MH-12,"5,47,000"
2021 Maruti New  Wagon-R,LXI CNG 1.0 L,Manual,"31,157 km",1st Owner,Petrol + CNG,MH-12,"6,66,000"
2015 Maruti Swift,ZXI,Manual,"55,209 km",1st Owner,Petrol,MH-14,"5,68,000"
2016 Maruti Celerio,VXI (O) AMT,Automatic,"36,387 km",2nd Owner,Petrol,MH-12,"4,76,000"
2018 Hyundai NEW SANTRO,1.1 SPORTZ MT CNG,,"39,904 km",1st Owner,Petrol + CNG,MH-14,"5,45,000"
2016 Maruti Alto 800,LXI,Manual,"32,745 km",1st Owner,Petrol,MH-12,"3,11,000"
2018 Maruti Alto 800,LXI,Manual,"35,340 km",1st Owner,Petrol,MH-12,"3,45,000"
2016 Hyundai Creta,1.6 SX PLUS AUTO PETROL,Automatic,"40,314 km",1st Owner,Petrol,MH-02,"10,66,000"
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"35,247 km",2nd Owner,Petrol,MH-48,"6,43,000"
2020 Hyundai NEW SANTRO,1.1 MAGNA CNG MT,Manual,"24,669 km",1st Owner,Petrol + CNG,MH-46,"5,84,000"
2019 Maruti Celerio,VXI CNG OPT,Manual,"89,495 km",1st Owner,Petrol + CNG,MH-14,"5,83,000"
2019 Hyundai Elite i20,1.2  ASTA (O) CVT,Automatic,"9,902 km",2nd Owner,Petrol,MH-03,"8,70,000"
2019 KIA SELTOS,GTX + AT PETROL,Automatic,"51,605 km",1st Owner,Petrol,MH-14,"17,26,000"
2020 Maruti S PRESSO,VXI PLUS,Manual,"50,729 km",1st Owner,Petrol,MH-24,"4,73,000"
2021 Honda Jazz,ZX CVT,Automatic,"7,292 km",1st Owner,Petrol,MH-12,"10,02,000"
2022 Hyundai NEW SANTRO,SPORTZ 1.1,Manual,606 km,2nd Owner,Petrol,MH-12,"6,59,000"
2020 Skoda Rapid,1.0 AMBITION TSI MT,Manual,"20,822 km",1st Owner,Petrol,MH-14,"9,33,000"
2021 Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,"5,956 km",1st Owner,Petrol,MH-12,"10,43,000"
2018 Maruti Alto K10,VXI (O) AMT,Automatic,"8,033 km",1st Owner,Petrol,MH-12,"4,77,000"
2017 Hyundai Grand i10,1.2 KAPPA SPORTZ (O),Manual,"10,440 km",1st Owner,Petrol,MH-12,"5,82,000"
2014 Hyundai Grand i10,ASTA 1.2 VTVT,Manual,"33,290 km",2nd Owner,Petrol,MH-02,"4,46,000"
2014 Maruti Wagon R 1.0,LXI CNG,Manual,"59,043 km",1st Owner,Petrol + CNG,MH-12,"4,08,000"
2016 Maruti Wagon R 1.0,VXI,Manual,"34,038 km",1st Owner,Petrol,MH-05,"4,20,000"
2018 Maruti Dzire,VXI,Manual,"14,576 km",1st Owner,Petrol,MH-04,"7,04,000"
2020 KIA SELTOS,1.4 GTX+ TURBO GDI PETROL AT,Automatic,"28,717 km",1st Owner,Petrol,MH-12,"17,49,000"
2020 Hyundai NEW SANTRO,1.1 SPORTS AMT,Automatic,"5,231 km",1st Owner,Petrol,MH-02,"6,42,000"
2013 Maruti Wagon R 1.0,LXI CNG,Manual,"18,578 km",1st Owner,Petrol + CNG,MH-12,"4,06,000"
2017 Volkswagen Vento,HIGHLINE 1.2 TSI AT,Automatic,"52,022 km",2nd Owner,Petrol,MH-14,"8,10,000"
2017 Maruti S Cross,ZETA SHVS,Manual,"34,424 km",1st Owner,Diesel,MH-14,"9,15,000"
2018 Hyundai NEW SANTRO,1.1 SPORTS AMT,Automatic,"29,944 km",2nd Owner,Petrol,MH-20,"5,40,000"
2017 Hyundai Verna,1.6 SX VTVT,Manual,"29,150 km",2nd Owner,Petrol,MH-12,"9,08,000"
2020 Maruti Ciaz,1.5 ZETA VVT SHVS AT,Automatic,"19,691 km",1st Owner,Petrol,MH-14,"10,87,000"
2017 Skoda Octavia,2.0 TDI STYLE PLUS AT,Automatic,"97,050 km",2nd Owner,Diesel,MH-14,"16,21,000"
2020 Hyundai GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT CNG,Manual,"24,851 km",1st Owner,Petrol + CNG,MH-14,"7,12,000"
2022 Maruti Dzire,ZXI Plus AMT,Automatic,"10,323 km",1st Owner,Petrol,MH-14,"9,74,000"
2018 Maruti Alto 800,LXI,Manual,"19,233 km",1st Owner,Petrol,MH-12,"3,51,000"
2020 Hyundai NEW SANTRO,SPORTZ 1.1,Manual,"19,156 km",1st Owner,Petrol,MH-14,"5,62,000"
2017 Maruti Wagon R 1.0,VXI,Manual,"52,775 km",1st Owner,Petrol,MH-24,"4,58,000"
2020 Skoda Rapid,1.0 AMBITION TSI AT,Automatic,"7,024 km",2nd Owner,Petrol,MH-12,"11,03,000"
2022 Honda Jazz,ZX CVT,Automatic,"2,405 km",1st Owner,Petrol,MH-12,"10,66,000"
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"38,313 km",1st Owner,Petrol,MH-12,"5,05,000"
2021 Maruti New  Wagon-R,1.0 Lxi (o) cng,Manual,"6,886 km",1st Owner,Petrol + CNG,MH-12,"7,00,000"
2020 Maruti Dzire,VXI,Manual,"13,435 km",1st Owner,Petrol,MH-14,"7,63,000"
2021 Tata ALTROZ,XZ+ 1.2 I- TURBO,,"11,440 km",1st Owner,Petrol,MH-12,"8,97,000"
2014 Toyota Corolla Altis,VL AT,Automatic,"65,756 km",1st Owner,Petrol,MH-12,"10,04,000"
2018 Maruti Celerio,ZXI OPT AMT,Automatic,"41,777 km",1st Owner,Petrol,MH-12,"5,47,000"
2021 Maruti Baleno,ZETA CVT PETROL 1.2,,"7,773 km",1st Owner,Petrol,MH-12,"9,61,000"
2017 Maruti S Cross,ZETA SHVS,Manual,"63,231 km",2nd Owner,Diesel,MH-14,"8,99,000"
2021 Toyota Glanza,V CVT,Automatic,"40,767 km",1st Owner,Petrol,MH-14,"9,08,000"
2011 Maruti Wagon R 1.0,VXI,Manual,"75,379 km",1st Owner,Petrol,MH-14,"3,11,000"
2020 KIA SELTOS,GTX + AT PETROL,Automatic,"14,996 km",1st Owner,Petrol,MH-12,"17,47,000"
2019 Maruti Celerio,VXI CNG,Manual,"93,275 km",1st Owner,Petrol + CNG,MH-12,"5,57,000"
2021 Honda Jazz,1.2 ZX MT,Manual,"5,817 km",1st Owner,Petrol,MH-12,"9,12,000"
2016 Maruti Wagon R 1.0,VXI,Manual,"52,538 km",1st Owner,Petrol,MH-50,"4,03,000"
2018 Maruti Alto 800,LXI,Manual,"8,390 km",2nd Owner,Petrol,MH-12,"3,33,000"
2019 Maruti Dzire,ZXI Plus,Manual,"26,420 km",1st Owner,Petrol,MH-47,"8,04,000"
2021 KIA SELTOS,1.4 GTX+ TURBO GDI PETROL AT,Automatic,"5,309 km",1st Owner,Petrol,MH-14,"18,71,000"
2019 Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"22,559 km",1st Owner,Petrol + CNG,MH-47,"5,93,000"
2021 Maruti New  Wagon-R,1.0 Lxi (o) cng,Manual,"22,215 km",1st Owner,Petrol + CNG,MH-03,"6,98,000"
2017 Maruti Wagon R 1.0,LXI CNG,Manual,"66,882 km",2nd Owner,Petrol + CNG,MH-12,"4,69,000"
2020 Honda Amaze,1.2 VX CVT I VTEC,Automatic,"5,741 km",1st Owner,Petrol,MH-14,"9,54,000"
2019 Maruti Celerio,VXI CNG OPT,Manual,"28,767 km",1st Owner,Petrol + CNG,MH-02,"5,77,000"
2015 Maruti Ritz,ZXI,Manual,"35,776 km",1st Owner,Petrol,MH-03,"4,01,000"
2020 Maruti Dzire,ZXI,Manual,"10,225 km",1st Owner,Petrol,MH-04,"8,03,000"
2019 Hyundai Elite i20,1.2  ASTA (O) CVT,Automatic,"7,243 km",1st Owner,Petrol,MH-12,"9,03,000"
2021 KIA SELTOS,GTX+ 1.4 MT,Manual,"3,786 km",1st Owner,Petrol,MH-12,"17,23,000"
2020 Maruti Ciaz,ALPHA 1.5 AT SHVS,Automatic,"11,140 km",1st Owner,Petrol,MH-14,"11,17,000"
2018 Toyota YARIS,G CVT,Automatic,"56,687 km",1st Owner,Petrol,MH-14,"8,84,000"
